file,row_id,id,author_match,text_match,date_match,stored_views,fresh_views,views_delta_pct,status,note
sacks_thread.csv,SK01,2099181123121127761,yes,yes,yes,109395,154065,40.8,OK,
sacks_thread.csv,SK02,2098987813568217417,yes,yes,yes,104286,123608,18.5,OK,
sacks_thread.csv,SK03,2099176838085943796,yes,yes,yes,82766,128096,54.8,OK,
sacks_thread.csv,SK04,2099059076327985514,yes,yes,yes,70420,84343,19.8,OK,
sacks_thread.csv,SK05,2099152028861600217,yes,yes,yes,52946,85896,62.2,OK,
sacks_thread.csv,SK06,2099200344446095853,yes,yes,yes,47270,58677,24.1,OK,
sacks_thread.csv,SK07,2098990047433535788,yes,yes,yes,44154,48677,10.2,OK,
sacks_thread.csv,SK08,2099033523491688774,yes,yes,yes,43717,51299,17.3,OK,
sacks_thread.csv,SK09,2099143638777577572,yes,yes,yes,34760,47915,37.8,OK,
sacks_thread.csv,SK10,2099146998259794304,yes,yes,yes,33646,39960,18.8,OK,
sacks_thread.csv,SK11,2099139732550914412,yes,yes,yes,33575,37192,10.8,OK,
sacks_thread.csv,SK12,2099130691522875730,yes,yes,yes,30217,34878,15.4,OK,
sacks_thread.csv,SK13,2099180873052524726,yes,yes,yes,28361,33623,18.6,OK,
sacks_thread.csv,SK14,2099171966192324721,yes,yes,yes,26499,57869,118.4,OK,
sacks_thread.csv,SK15,2099001534906319085,yes,yes,yes,24941,28059,12.5,OK,
sacks_thread.csv,SK16,2098999420004286766,yes,yes,yes,23740,26570,11.9,OK,
sacks_thread.csv,SK17,2099137950307205441,yes,yes,yes,21655,23989,10.8,OK,
sacks_thread.csv,SK18,2098993174136131924,yes,yes,yes,21072,23052,9.4,OK,
sacks_thread.csv,SK19,2099061496265253078,yes,yes,yes,20931,24186,15.6,OK,
sacks_thread.csv,SK20,2099138751205142561,yes,yes,yes,17727,23071,30.1,OK,
sacks_thread.csv,SK21,2099147563429720203,yes,yes,yes,15804,19083,20.7,OK,
sacks_thread.csv,SK22,2099185129533186438,yes,yes,yes,15129,18459,22.0,OK,
sacks_thread.csv,SK23,2099155414092796300,yes,yes,yes,14917,17989,20.6,OK,
sacks_thread.csv,SK24,2099111903821787307,yes,yes,yes,14526,17365,19.5,OK,
sacks_thread.csv,SK25,2099129471638905218,yes,yes,yes,14286,17232,20.6,OK,
sacks_thread.csv,SK26,2099084587502592340,yes,yes,yes,13737,16872,22.8,OK,
sacks_thread.csv,SK27,2099215095196717540,yes,yes,yes,11898,14892,25.2,OK,
sacks_thread.csv,SK28,2099166583411122216,yes,yes,yes,11392,13127,15.2,OK,
sacks_thread.csv,SK29,2099127704368910465,yes,yes,yes,10626,14185,33.5,OK,
sacks_thread.csv,SK30,2099164387819049083,yes,yes,yes,10247,15720,53.4,OK,
sacks_thread.csv,SK31,2099146931767242833,yes,yes,yes,9837,12001,22.0,OK,
sacks_thread.csv,SK32,2099035870275711389,yes,yes,yes,9576,14445,50.8,OK,
sacks_thread.csv,SK33,2099126379543461900,yes,yes,yes,9197,10955,19.1,OK,
sacks_thread.csv,SK34,2099176680505974813,yes,yes,yes,8604,9776,13.6,OK,
sacks_thread.csv,SK35,2099157503212658853,yes,yes,yes,7671,10509,37.0,OK,
sacks_thread.csv,SK36,2099130285778469260,yes,yes,yes,7253,7862,8.4,OK,
sacks_thread.csv,SK37,2099161431413494038,yes,yes,yes,6838,9369,37.0,OK,
sacks_thread.csv,SK38,2099238835456508159,yes,yes,yes,6822,10032,47.1,OK,
sacks_thread.csv,SK39,2099146612060872924,yes,yes,yes,6583,6934,5.3,OK,
sacks_thread.csv,SK40,2099034273235820566,yes,yes,yes,6550,7408,13.1,OK,
sacks_thread.csv,SK41,2099126145547677807,yes,yes,yes,6449,6835,6.0,OK,
sacks_thread.csv,SK42,2099015815542522290,yes,yes,yes,6435,7141,11.0,OK,
sacks_thread.csv,SK43,2099175683448819750,yes,yes,yes,6260,10323,64.9,OK,
sacks_thread.csv,SK44,2099031774479135017,yes,yes,yes,6056,6772,11.8,OK,
sacks_thread.csv,SK45,2099035911677735339,yes,yes,yes,6032,8514,41.1,OK,
sacks_thread.csv,SK46,2099146112427020576,yes,yes,yes,5585,7397,32.4,OK,
sacks_thread.csv,SK47,2099126875410800834,yes,yes,yes,5447,6200,13.8,OK,
sacks_thread.csv,SK48,2099084410280636811,yes,yes,yes,5162,5982,15.9,OK,
sacks_thread.csv,SK49,2099224756038033415,yes,yes,yes,4962,8242,66.1,OK,
sacks_thread.csv,SK50,2098992959987347896,yes,yes,yes,4743,4955,4.5,OK,
sacks_thread.csv,SK51,2099002875049341347,yes,yes,yes,4700,5098,8.5,OK,
sacks_thread.csv,SK52,2099096248082915433,yes,yes,yes,4468,4641,3.9,OK,
sacks_thread.csv,SK53,2099149575785201770,yes,yes,yes,4422,6134,38.7,OK,
sacks_thread.csv,SK54,2099035836696142172,yes,yes,yes,3997,4559,14.1,OK,
sacks_thread.csv,SK55,2098994739227844697,yes,yes,yes,3323,3559,7.1,OK,
sacks_thread.csv,SK56,2099220766504222732,yes,yes,yes,3318,7249,118.5,OK,
sacks_thread.csv,SK57,2099092658622730244,yes,yes,yes,3308,3879,17.3,OK,
sacks_thread.csv,SK58,2099166170792214871,yes,yes,yes,3193,4754,48.9,OK,
sacks_thread.csv,SK59,2099183758784225359,yes,yes,yes,3179,3686,15.9,OK,
sacks_thread.csv,SK60,2099152964615061876,yes,yes,yes,3067,3541,15.5,OK,
sacks_thread.csv,SK61,2099151318585675869,yes,yes,yes,2988,3597,20.4,OK,
sacks_thread.csv,SK62,2099213660287914324,yes,yes,yes,2921,3514,20.3,OK,
sacks_thread.csv,SK63,2099250910614696205,yes,yes,yes,2782,6492,133.4,OK,
sacks_thread.csv,SK64,2099013121717252409,yes,yes,yes,2775,2997,8.0,OK,
sacks_thread.csv,SK65,2099083732200374428,yes,yes,yes,2724,3084,13.2,OK,
